,order,user_id,movie_id,recommend
0,1,u00005,m0328,FALSE
1,2,u00007,m0103,FALSE
2,3,u00021,m0708,TRUE
3,4,u00038,m0994,TRUE
4,5,u00043,m1126,TRUE
5,6,u00051,m0841,FALSE
6,7,u00060,m1089,FALSE
7,8,u00074,m1063,FALSE
8,9,u00075,m0618,TRUE
9,10,u00096,m1037,FALSE
10,11,u00117,m0313,FALSE
11,12,u00121,m0001,FALSE
12,13,u00125,m0569,FALSE
13,14,u00132,m0337,TRUE
14,15,u00143,m0869,TRUE
15,16,u00148,m0793,FALSE
16,17,u00162,m1100,TRUE
17,18,u00177,m0053,FALSE
18,19,u00184,m0044,FALSE
19,20,u00207,m0987,FALSE
20,21,u00210,m0380,FALSE
21,22,u00219,m0823,TRUE
22,23,u00246,m0486,FALSE
23,24,u00259,m0788,FALSE
24,25,u00264,m0283,TRUE
25,26,u00265,m0384,FALSE
26,27,u00278,m1135,FALSE
27,28,u00290,m1140,FALSE
28,29,u00298,m0803,TRUE
29,30,u00301,m0344,FALSE
30,31,u00321,m0006,FALSE
31,32,u00324,m0627,TRUE
32,33,u00328,m0274,TRUE
33,34,u00338,m0165,TRUE
34,35,u00344,m0517,TRUE
35,36,u00361,m0145,FALSE
36,37,u00365,m0299,FALSE
37,38,u00382,m0745,FALSE
38,39,u00396,m0319,FALSE
39,40,u00417,m0392,FALSE
40,41,u00438,m0322,TRUE
41,42,u00442,m0139,FALSE
42,43,u00443,m0619,TRUE
43,44,u00454,m0684,FALSE
44,45,u00455,m0882,FALSE
45,46,u00466,m0737,FALSE
46,47,u00475,m0385,FALSE
47,48,u00479,m1002,TRUE
48,49,u00491,m0200,TRUE
49,50,u00508,m0415,FALSE
50,51,u00510,m0790,FALSE
51,52,u00517,m0012,FALSE
52,53,u00541,m0774,FALSE
53,54,u00550,m0984,FALSE
54,55,u00558,m0698,FALSE
55,56,u00574,m0470,TRUE
56,57,u00593,m0117,FALSE
57,58,u00594,m0181,FALSE
58,59,u00608,m0293,FALSE
59,60,u00614,m0290,FALSE
60,61,u00615,m0199,TRUE
61,62,u00617,m0444,FALSE
62,63,u00619,m0554,TRUE
63,64,u00620,m0904,TRUE
64,65,u00624,m0434,FALSE
65,66,u00644,m0129,FALSE
66,67,u00647,m1007,FALSE
67,68,u00653,m0633,FALSE
68,69,u00659,m0722,FALSE
69,70,u00673,m0174,FALSE
70,71,u00677,m0077,FALSE
71,72,u00680,m1110,FALSE
72,73,u00681,m0207,FALSE
73,74,u00706,m1077,TRUE
74,75,u00755,m0290,FALSE
75,76,u00756,m0381,FALSE
76,77,u00762,m0575,TRUE
77,78,u00781,m0758,TRUE
78,79,u00786,m0574,FALSE
79,80,u00789,m0820,TRUE
80,81,u00799,m0086,TRUE
81,82,u00803,m0431,TRUE
82,83,u00813,m0059,FALSE
83,84,u00858,m0321,FALSE
84,85,u00868,m0106,FALSE
85,86,u00902,m0655,FALSE
86,87,u00904,m0189,FALSE
87,88,u00930,m0825,FALSE
88,89,u00932,m0441,FALSE
89,90,u00945,m0979,TRUE
90,91,u00952,m0422,TRUE
91,92,u00962,m0489,FALSE
92,93,u00966,m0085,FALSE
93,94,u00968,m0207,FALSE
94,95,u00997,m0618,TRUE
95,96,u01003,m0594,TRUE
96,97,u01007,m1049,TRUE
97,98,u01038,m0149,FALSE
98,99,u01039,m0770,FALSE
99,100,u01042,m0569,FALSE
100,101,u01046,m0900,FALSE
101,102,u01055,m0309,TRUE
102,103,u01061,m0291,FALSE
103,104,u01076,m0381,FALSE
104,105,u01084,m0928,FALSE
105,106,u01087,m0005,TRUE
106,107,u01105,m0384,FALSE
107,108,u01116,m0344,FALSE
108,109,u01123,m0337,TRUE
109,110,u01128,m1144,FALSE
110,111,u01131,m0433,FALSE
111,112,u01138,m0423,FALSE
112,113,u01140,m0175,FALSE
113,114,u01144,m0192,FALSE
114,115,u01160,m0674,TRUE
115,116,u01168,m0366,FALSE
116,117,u01180,m0422,TRUE
117,118,u01188,m0326,FALSE
118,119,u01191,m0127,TRUE
119,120,u01194,m0047,FALSE
120,121,u01208,m0818,TRUE
121,122,u01210,m1103,TRUE
122,123,u01217,m0902,FALSE
123,124,u01224,m1076,FALSE
124,125,u01249,m0961,TRUE
125,126,u01256,m0051,FALSE
126,127,u01257,m1045,TRUE
127,128,u01262,m0412,FALSE
128,129,u01277,m0081,FALSE
129,130,u01286,m0633,FALSE
130,131,u01299,m0788,FALSE
131,132,u01306,m0650,TRUE
132,133,u01311,m0369,TRUE
133,134,u01312,m0382,FALSE
134,135,u01335,m0236,FALSE
135,136,u01338,m0554,TRUE
136,137,u01339,m0732,FALSE
137,138,u01353,m0896,FALSE
138,139,u01368,m0569,FALSE
139,140,u01374,m1109,TRUE
140,141,u01402,m0287,FALSE
141,142,u01413,m0306,FALSE
142,143,u01424,m0270,TRUE
143,144,u01426,m0799,FALSE
144,145,u01429,m1138,FALSE
145,146,u01452,m0584,FALSE
146,147,u01458,m0521,TRUE
147,148,u01466,m0164,FALSE
148,149,u01468,m0583,FALSE
149,150,u01479,m0381,FALSE
150,151,u01491,m1127,TRUE
151,152,u01492,m0819,FALSE
152,153,u01493,m0803,TRUE
153,154,u01536,m0431,TRUE
154,155,u01538,m0496,FALSE
155,156,u01546,m0009,FALSE
156,157,u01551,m0329,FALSE
157,158,u01562,m0175,FALSE
158,159,u01565,m0828,TRUE
159,160,u01587,m0217,FALSE
160,161,u01590,m0785,FALSE
161,162,u01602,m0910,TRUE
162,163,u01615,m0157,FALSE
163,164,u01622,m0099,FALSE
164,165,u01624,m0475,FALSE
165,166,u01630,m0250,FALSE
166,167,u01636,m0046,FALSE
167,168,u01761,m0421,FALSE
168,169,u01787,m0100,FALSE
169,170,u01806,m0808,TRUE
170,171,u01808,m0946,FALSE
171,172,u01812,m0890,FALSE
172,173,u01815,m0297,TRUE
173,174,u01816,m0676,TRUE
174,175,u01822,m0298,FALSE
175,176,u01823,m0295,FALSE
176,177,u01826,m0836,FALSE
177,178,u01842,m1099,FALSE
178,179,u01850,m0530,TRUE
179,180,u01869,m0774,FALSE
180,181,u01873,m0380,FALSE
181,182,u01881,m0551,TRUE
182,183,u01883,m0246,TRUE
183,184,u01885,m0856,FALSE
184,185,u01888,m0172,FALSE
185,186,u01894,m0557,FALSE
186,187,u01905,m0423,FALSE
187,188,u01944,m0710,FALSE
188,189,u01955,m0464,FALSE
189,190,u01969,m0466,TRUE
190,191,u01978,m0107,TRUE
191,192,u01987,m0081,FALSE
192,193,u01993,m0951,FALSE
193,194,u01996,m0118,FALSE
194,195,u02005,m0393,TRUE
195,196,u02006,m1081,FALSE
196,197,u02012,m0695,FALSE
197,198,u02014,m0206,FALSE
198,199,u02017,m0665,FALSE
199,200,u02025,m0575,TRUE
200,201,u02034,m0373,FALSE
201,202,u02051,m0745,FALSE
202,203,u02059,m0959,TRUE
203,204,u02062,m0228,FALSE
204,205,u02064,m0479,FALSE
205,206,u02067,m0066,FALSE
206,207,u02075,m0160,FALSE
207,208,u02077,m0192,FALSE
208,209,u02080,m0031,FALSE
209,210,u02108,m0426,TRUE
210,211,u02115,m0905,TRUE
211,212,u02140,m0978,FALSE
212,213,u02157,m0413,FALSE
213,214,u02168,m0131,TRUE
214,215,u02177,m0620,TRUE
215,216,u02196,m1011,FALSE
216,217,u02206,m0596,FALSE
217,218,u02213,m0698,FALSE
218,219,u02232,m0171,FALSE
219,220,u02234,m1074,FALSE
220,221,u02252,m0125,FALSE
221,222,u02258,m0565,FALSE
222,223,u02270,m0298,FALSE
223,224,u02281,m0519,TRUE
224,225,u02309,m0035,FALSE
225,226,u02311,m1030,TRUE
226,227,u02323,m0261,TRUE
227,228,u02328,m0603,TRUE
228,229,u02333,m0904,TRUE
229,230,u02344,m1085,TRUE
230,231,u02347,m0305,FALSE
231,232,u02353,m0931,TRUE
232,233,u02364,m0616,FALSE
233,234,u02370,m0669,FALSE
234,235,u02406,m0417,FALSE
235,236,u02409,m0322,TRUE
236,237,u02430,m0208,FALSE
237,238,u02442,m0469,FALSE
238,239,u02447,m0927,FALSE
239,240,u02448,m0121,FALSE
240,241,u02456,m0354,FALSE
241,242,u02458,m0203,TRUE
242,243,u02475,m0836,TRUE
243,244,u02478,m0247,TRUE
244,245,u02493,m0182,FALSE
245,246,u02524,m0145,FALSE
246,247,u02526,m0162,FALSE
247,248,u02559,m0709,TRUE
248,249,u02576,m0511,FALSE
249,250,u02601,m0038,FALSE
250,251,u02603,m0119,FALSE
251,252,u02605,m0366,FALSE
252,253,u02613,m0625,FALSE
253,254,u02614,m0421,FALSE
254,255,u02621,m0048,FALSE
255,256,u02622,m0329,FALSE
256,257,u02666,m0261,TRUE
257,258,u02672,m1093,TRUE
258,259,u02681,m1037,FALSE
259,260,u02696,m0820,TRUE
