order,user_id,movie_id,recommend
1,u00005,m0328,
2,u00007,m0103,
3,u00021,m0708,
4,u00038,m0994,
5,u00043,m1126,
6,u00051,m0841,
7,u00060,m1089,
8,u00074,m1063,
9,u00075,m0618,
10,u00096,m1037,
11,u00117,m0313,
12,u00121,m0001,
13,u00125,m0569,
14,u00132,m0337,
15,u00143,m0869,
16,u00148,m0793,
17,u00162,m1100,
18,u00177,m0053,
19,u00184,m0044,
20,u00207,m0987,
21,u00210,m0380,
22,u00219,m0823,
23,u00246,m0486,
24,u00259,m0788,
25,u00264,m0283,
26,u00265,m0384,
27,u00278,m1135,
28,u00290,m1140,
29,u00298,m0803,
30,u00301,m0344,
31,u00321,m0006,
32,u00324,m0627,
33,u00328,m0274,
34,u00338,m0165,
35,u00344,m0517,
36,u00361,m0145,
37,u00365,m0299,
38,u00382,m0745,
39,u00396,m0319,
40,u00417,m0392,
41,u00438,m0322,
42,u00442,m0139,
43,u00443,m0619,
44,u00454,m0684,
45,u00455,m0882,
46,u00466,m0737,
47,u00475,m0385,
48,u00479,m1002,
49,u00491,m0200,
50,u00508,m0415,
51,u00510,m0790,
52,u00517,m0012,
53,u00541,m0774,
54,u00550,m0984,
55,u00558,m0698,
56,u00574,m0470,
57,u00593,m0117,
58,u00594,m0181,
59,u00608,m0293,
60,u00614,m0290,
61,u00615,m0199,
62,u00617,m0444,
63,u00619,m0554,
64,u00620,m0904,
65,u00624,m0434,
66,u00644,m0129,
67,u00647,m1007,
68,u00653,m0633,
69,u00659,m0722,
70,u00673,m0174,
71,u00677,m0077,
72,u00680,m1110,
73,u00681,m0207,
74,u00706,m1077,
75,u00755,m0290,
76,u00756,m0381,
77,u00762,m0575,
78,u00781,m0758,
79,u00786,m0574,
80,u00789,m0820,
81,u00799,m0086,
82,u00803,m0431,
83,u00813,m0059,
84,u00858,m0321,
85,u00868,m0106,
86,u00902,m0655,
87,u00904,m0189,
88,u00930,m0825,
89,u00932,m0441,
90,u00945,m0979,
91,u00952,m0422,
92,u00962,m0489,
93,u00966,m0085,
94,u00968,m0207,
95,u00997,m0618,
96,u01003,m0594,
97,u01007,m1049,
98,u01038,m0149,
99,u01039,m0770,
100,u01042,m0569,
101,u01046,m0900,
102,u01055,m0309,
103,u01061,m0291,
104,u01076,m0381,
105,u01084,m0928,
106,u01087,m0005,
107,u01105,m0384,
108,u01116,m0344,
109,u01123,m0337,
110,u01128,m1144,
111,u01131,m0433,
112,u01138,m0423,
113,u01140,m0175,
114,u01144,m0192,
115,u01160,m0674,
116,u01168,m0366,
117,u01180,m0422,
118,u01188,m0326,
119,u01191,m0127,
120,u01194,m0047,
121,u01208,m0818,
122,u01210,m1103,
123,u01217,m0902,
124,u01224,m1076,
125,u01249,m0961,
126,u01256,m0051,
127,u01257,m1045,
128,u01262,m0412,
129,u01277,m0081,
130,u01286,m0633,
131,u01299,m0788,
132,u01306,m0650,
133,u01311,m0369,
134,u01312,m0382,
135,u01335,m0236,
136,u01338,m0554,
137,u01339,m0732,
138,u01353,m0896,
139,u01368,m0569,
140,u01374,m1109,
141,u01402,m0287,
142,u01413,m0306,
143,u01424,m0270,
144,u01426,m0799,
145,u01429,m1138,
146,u01452,m0584,
147,u01458,m0521,
148,u01466,m0164,
149,u01468,m0583,
150,u01479,m0381,
151,u01491,m1127,
152,u01492,m0819,
153,u01493,m0803,
154,u01536,m0431,
155,u01538,m0496,
156,u01546,m0009,
157,u01551,m0329,
158,u01562,m0175,
159,u01565,m0828,
160,u01587,m0217,
161,u01590,m0785,
162,u01602,m0910,
163,u01615,m0157,
164,u01622,m0099,
165,u01624,m0475,
166,u01630,m0250,
167,u01636,m0046,
168,u01761,m0421,
169,u01787,m0100,
170,u01806,m0808,
171,u01808,m0946,
172,u01812,m0890,
173,u01815,m0297,
174,u01816,m0676,
175,u01822,m0298,
176,u01823,m0295,
177,u01826,m0836,
178,u01842,m1099,
179,u01850,m0530,
180,u01869,m0774,
181,u01873,m0380,
182,u01881,m0551,
183,u01883,m0246,
184,u01885,m0856,
185,u01888,m0172,
186,u01894,m0557,
187,u01905,m0423,
188,u01944,m0710,
189,u01955,m0464,
190,u01969,m0466,
191,u01978,m0107,
192,u01987,m0081,
193,u01993,m0951,
194,u01996,m0118,
195,u02005,m0393,
196,u02006,m1081,
197,u02012,m0695,
198,u02014,m0206,
199,u02017,m0665,
200,u02025,m0575,
201,u02034,m0373,
202,u02051,m0745,
203,u02059,m0959,
204,u02062,m0228,
205,u02064,m0479,
206,u02067,m0066,
207,u02075,m0160,
208,u02077,m0192,
209,u02080,m0031,
210,u02108,m0426,
211,u02115,m0905,
212,u02140,m0978,
213,u02157,m0413,
214,u02168,m0131,
215,u02177,m0620,
216,u02196,m1011,
217,u02206,m0596,
218,u02213,m0698,
219,u02232,m0171,
220,u02234,m1074,
221,u02252,m0125,
222,u02258,m0565,
223,u02270,m0298,
224,u02281,m0519,
225,u02309,m0035,
226,u02311,m1030,
227,u02323,m0261,
228,u02328,m0603,
229,u02333,m0904,
230,u02344,m1085,
231,u02347,m0305,
232,u02353,m0931,
233,u02364,m0616,
234,u02370,m0669,
235,u02406,m0417,
236,u02409,m0322,
237,u02430,m0208,
238,u02442,m0469,
239,u02447,m0927,
240,u02448,m0121,
241,u02456,m0354,
242,u02458,m0203,
243,u02475,m0836,
244,u02478,m0247,
245,u02493,m0182,
